Countries fintechs,Country,Year,1A,1B,1C,2A,2B,2C,2D,2E,3A,3B,3C,3D,4A,4B,5A,5B,5C,6A,,,,,,,,,,,
6,Chile,2017,3.34817338,4.010156155,4.77375926,3.772456408,4.564846202,3.998736858,4.883359324,37.96844848,4.010156155,5.585391521,3.35054018,6.407958031,72.10828803,130.111239942213,3.192220926,5.136859458,32.2120132,6.214000225,,,,,,,,,,,
4,Colombia,2017,2.813297749,3.746092796,4.261622278,3.979558945,4.65334725,3.884939194,4.829644091,63.89080454,3.746092796,4.755524635,3.47172273,5.624046326,46.87050051,120.618294060691,3.519027948,5.036575722,31.62181625,9.052000046,,,,,,,,,,,
2,Egypt,2017,2.793814421,3.649484634,4.329825631,2.6875,3.130242669,3.717171669,5.052692303,36.20180018,3.649484634,4.367346764,3.560961397,5.367346764,47.28267077,102.19750129067,3.898989916,4.809777473,30.22041533,13.15400028,,,,,,,,,,,
70,India,2017,3.964341402,4.458467484,4.08533821,4.377212524,4.737299156,4.614189625,4.292252681,47.60218581,4.458467484,4.633415222,3.33783529,4.878878117,33.91265088,147.663950616543,4.215295315,5.474790346,37.72798558,2.822999954,,,,,,,,,,,
5,Indonesia,2017,4.305615902,4.539624691,4.517659507,4.327155113,4.48983949,4.551252365,4.591020057,12.408778,4.539624691,4.565560341,3.35846425,4.5825243,16.41448218,85.1709256957691,4.449378014,5.753322093,36.86933514,4.335999966,,,,,,,,,,,
4,"Korea, Rep.",2017,2.933500051,3.725499868,4.210506969,4.225444317,4.43392877,4.354000092,4.491397493,54.09516335,3.725499868,4.688499928,2.912817942,4.335000038,109.6894213,120.679704974329,3.335000038,5.540554399,35.90771526,3.099999905,,,,,,,,,,,
16,Mexico,2017,3.051112175,3.561781406,4.192928389,3.676470518,3.608966914,4.127756596,5.167262089,63.93899417,3.561781406,4.835584164,3.756210358,5.380687714,58.86213816,87.60369094902561,3.460373402,4.722717517,45.08448518,4.914000034,,,,,,,,,,,
6,Philippines,2017,2.842487335,3.904711723,4.512584954,3.848608494,4.315917766,4.133888245,4.732662036,53.81088295,3.904711723,5.018304825,3.020404144,5.507721901,54.78695158,116.237550283235,3.021937847,5.02921193,31.99900163,3.496999979,,,,,,,,,,,
0,Romania,2017,2.085071087,2.900335073,4.418106492,2.697806597,4.023620802,3.582945347,4.608503948,42.21223947,2.900335073,4.666211128,2.682059822,4.581313133,80.1897737,115.78472999633,3.589927912,5.241715166,26.75397638,7.096000195,,,,,,,,,,,
12,South Africa,2017,2.700045824,3.922948599,4.529820498,3.349999905,3.951721461,3.612700462,4.650193503,27.07156182,3.922948599,4.332118034,2.891209927,5.200572968,65.06770904,94.40247616139889,3.822892427,5.284617717,15.84549881,24.56900024,,,,,,,,,,,
7,Turkey,2017,2.256690979,2.954999924,3.706920283,3.846024036,4.612447141,3.613446951,4.044551023,38.19651372,2.954999924,3.642097235,2.588693727,2.318407297,23.00857936,135.195655555072,3.230710745,5.358935408,46.78602029,8.732000351,,,,,,,,,,,
1,Ukraine,2017,5.244992733,5.514613152,5.436255578,5.335483074,5.193060539,5.714865685,4.942468319,50.71603544,5.514613152,5.81463623,4.223601763,5.735912323,127.0015214,122.875872294896,5.481992722,6.110687752,33.10646755,7.170000076,,,,,,,,,,,
348,United States,2017,2.868613958,3.824804783,4.946727907,3.321940422,6.229836318,4.2609725,3.821437585,56.32364635,3.824804783,5.407596588,2.579415231,5.479403496,56.34003126,147.125205923013,7,6.42981398,1.84722964,7.375,,,,,,,,,,,
6,Argentina,2016,2.009052196,3.054536909,2.923875484,3.073639069,4.127524014,3.72836431,2.994854374,64.7,3.054536909,2.923875484,1.728854905,4.533789253,53.63235404,158.735762,4.962193157,5.107327801,15.82633534,7.268000126,,,,,,,,,,,
0,Bangladesh,2016,2.113348157,4.058515253,3.90174608,3.363782738,3.153860851,4.048630145,3.74026416,9.6,4.058515253,3.90174608,2.44484878,4.003084381,6.410119399,75.92489163,4.633250243,4.830894169,17.1700362,4.410999775,,,,,,,,,,,
37,Brazil,2016,2.510983548,5.22370364,4.985450284,2.442969032,3.62519391,4.469284327,4.594665515,57.6,5.22370364,4.985450284,2.668874993,5.768729904,78.13922848,138.9514906,5.839023014,5.609064196,11.23280144,6.670000076,,,,,,,,,,,
26,Canada,2016,3.676170056,6.148537636,5.826403246,5.104452541,5.954612006,6.244370575,4.916084875,87.12,6.148537636,5.826403246,3.771799566,6.680149783,59.79777694,82.98444025,5.333515267,5.780906525,31.28613249,6.914000034,,,,,,,,,,,
2,Chile,2016,3.301209052,5.544986015,4.866945422,3.375640813,4.755929603,5.594440768,5.227738309,72.35,5.544986015,4.866945422,3.666035656,6.297118978,50.46690543,133.2556288,4.386738288,5.060326282,33.69400985,6.664999962,,,,,,,,,,,
4,Colombia,2016,2.716589105,4.761795647,3.6071985,3.144919264,4.111290729,4.487097907,4.595816946,52.57,4.761795647,3.6071985,2.766149865,5.818670821,45.06123335,113.0820753,4.723845611,4.894021857,16.02075521,8.57199955,,,,,,,,,,,
