Countries_fintechs,CB_Ranking,Country,Year,oneA,oneB,oneC,twoA,twoB,twoC,twoD,twoE,threeA,threeB,threeC,threeD,fourA,fourB,fiveA,fiveB,sixA
5,161,Mexico,2015,2.521288309,4.338182889,3.729689581,2.814058903,3.716584216,4.910559546,5.108003639,43.46,4.338182889,3.729689581,2.417474335,5.645203261,6.269951149,85.83640136,5.490852318,5.971430684,4.313000202
0,1000,Bolivia,2015,3.357822488,3.736793711,3.845037446,3.245697113,3.610870775,3.759841371,3.608183969,39.5,3.736793711,3.845037446,3.601798996,3.972895642,13.88043519,97.69945273,3.123643119,4.166431705,3.065999985
0,50,Ecuador,2015,2.549379796,3.894236058,4.128120162,3.341147559,3.46311452,4.202383176,4.2188615,33.62109834,3.887864525,4.207477101,2.900027062,5.187759864,17.97267157,98.03664578,3.669406899,4.450301281,3.615999937
0,1000,Guyana,2015,3.260736113,4.074645942,4.120983877,4.289454422,4.24736655,4.699266916,4.195661633,33,4.074645942,4.120983877,3.32506602,4.774456309,13.38609284,69.41295352,1.832575042,3.100142258,12.55200005
0,1000,Paraguay,2015,2.201439011,3.674101185,4.25116578,2.644851625,2.882191884,3.978113681,4.212644912,36.9,3.674101185,4.25116578,2.952642326,5.593764595,4.758820369,103.6893284,3.097808566,3.856248775,4.556000233
0,1000,Peru,2015,2.854274514,4.126655173,4.721451107,3.165599417,3.654646835,4.629280101,5.079232472,39.2,4.126655173,4.721451107,3.218750102,5.797368491,2.906493741,98.08298127,4.35525601,4.825404437,3
0,1000,Suriname,2015,2.027642242,3.649652304,3.689441331,3.365467351,2.748833495,4.185320319,3.785768453,37.4,3.649652304,3.689441331,2.354835078,5.148589774,14.96611111,127.3188497,1.737826859,3.092704119,7.21999979
1,259,Uruguay,2015,2.608302288,4.120030471,4.247182876,4.034413942,6.047424657,4.594590378,5.138934973,58.1,4.120030471,4.247182876,2.833768164,5.417516754,31.94071252,154.618466,3.15178923,3.754130417,7.487999916
0,1000,Venezuela,2015,2.072261409,3.919036896,3.649086472,3.322324046,3.492784209,3.750190928,2.919829227,54.9,3.919036896,3.649086472,2.306251022,4.490073904,3.733551296,101.614434,4.424928708,4.939992696,6.820000172
3,105,Argentina,2014,1.745999175,3.126619729,2.922947984,3.197744879,4.035263265,3.973980394,3.122705429,55.8,3.126619729,2.922947984,1.672877443,4.39137483,12.40327278,142.5117584,4.870111305,5.207463963,8.015999794
27,218,Brazil,2014,2.72324857,5.288585761,4.459101715,2.978993122,3.600096438,5.054831311,5.1458807,49.84799936,5.288585761,4.459101715,2.881247836,6.281253966,36.63486617,125.1878012,5.683675591,5.559712721,11.60900021
5,88,Chile,2014,3.270340788,5.61234385,5.025258813,3.617812475,4.852955675,5.803260338,5.186963963,61.41815456,5.61234385,5.025258813,3.644180575,6.310037525,27.95783258,138.4977192,4.311600164,5.026250404,6.737999916
2,89,Colombia,2014,2.576550649,4.86118018,3.774997627,3.481698063,3.920179798,4.507047927,4.621111037,48.9843188,4.86118018,3.774997627,2.788922043,5.871341002,4.946956836,103.1874415,4.623057049,4.918602221,8.692000389
10,94,Mexico,2014,2.575992014,4.583254521,3.981304018,2.988050964,3.763353814,5.106569344,5.253376408,38.42,4.583254521,3.981304018,2.522597213,5.801937023,9.724259396,86.77462037,5.485576244,5.98508902,3.858999968
0,1000,Bolivia,2014,3.243054186,3.84678817,3.737810318,3.470720765,3.528849142,3.795138077,3.588605375,34.18843423,3.84678817,3.737810318,3.757203852,4.02945049,6.713448286,92.63840839,3.052343284,4.144395101,2.006999969
0,1000,Ecuador,2014,3.219439017,3.998274951,4.164930998,4.006147732,4.018119129,4.604227337,3.986149216,35.13450622,3.998274951,4.164930998,3.406203534,4.666540902,22.20304666,110.7080686,3.824967121,4.560055364,3.480000019
0,1000,Guyana,2014,3.177994772,4.184133985,4.458275892,4.272258757,4.116583935,4.896927204,4.260690627,34.30804622,4.184133985,4.458275892,3.205817989,5.199332931,16.04030474,72.20570125,1.780457045,3.027103482,12.36699963
0,1000,Paraguay,2014,2.370381922,4.022533478,4.34567342,2.675553943,2.588195461,4.139453588,4.096444041,27.0758,4.022533478,4.34567342,2.946806383,5.633911438,5.480519585,101.6573537,2.991878197,3.928130669,5.03399992
1,30,Peru,2014,2.904121525,4.284115481,4.943088233,3.257209163,3.706299497,4.637388862,5.150254189,38.2,4.284115481,4.943088233,3.483604041,5.83937257,2.776312462,98.83717634,4.317457007,4.869000385,2.961999893
0,1000,Suriname,2014,2.024342075,3.801820599,3.792278718,3.478613232,2.578077209,4.277043014,3.890837874,34.6812,3.801820599,3.792278718,2.35449924,5.388255689,12.15852311,182.8988627,1.560931946,3.101409015,6.940000057
0,1000,Uruguay,2014,2.538031516,4.24105185,4.088061882,4.006089561,5.935129603,4.549249826,5.207328464,55.1146,4.24105185,4.088061882,2.673185333,5.387236996,31.97673664,147.2966255,3.108621675,3.806809356,6.546999931
0,1000,Venezuela,2014,2.122125142,3.810917894,3.661642339,3.32040558,3.404508445,4.136559003,3.311576784,44.0456,3.810917894,3.661642339,2.337424781,4.70654811,4.749819459,102.1000817,4.421691772,4.999906161,6.949999809
1,13,Argentina,2013,1.822370432,3.436614973,3.092524162,3.364864946,3.705929784,4.338348162,3.59018027,47.704,3.436614973,3.092524162,1.686165162,4.54049327,11.71360585,134.9211144,4.872717787,5.141037953,8.347000122
12,171,Brazil,2013,2.821424012,5.53710316,4.294618807,2.968219649,3.672140847,5.319828744,5.15782913,45,5.53710316,4.294618807,3.114132729,6.205173873,20.90686841,123.1758591,5.687965892,5.470929702,12.82699966
1,149,Chile,2013,3.207263735,5.816137014,5.189394729,3.35903381,4.699903455,5.943542853,5.113883549,53.8938,5.816137014,5.189394729,3.74445588,6.352929986,17.1370029,129.7080782,4.274405408,4.932466757,6.958000183
